species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Dream,46.86845172769926,15.991125358419808,200,3444,FEMALE
Chinstrap,Dream,46.34867718485739,17.996925474293246,203,3806,FEMALE
Chinstrap,Dream,52.39999143609401,17.28960962460671,195,3512,FEMALE
Chinstrap,Dream,48.7704459375086,17.93444128886245,198,3254,FEMALE
Chinstrap,Dream,45.47232623635977,17.14008067427342,196,3315,FEMALE
Chinstrap,Dream,51.004580017380064,17.473249125153092,189,3849,FEMALE
Chinstrap,Dream,52.017138441754334,16.98580909808319,191,3966,FEMALE
Chinstrap,Dream,43.243283867477906,17.254594724297988,188,3610,FEMALE
Chinstrap,Dream,49.92268700118836,17.529472062500243,192,3572,FEMALE
Chinstrap,Dream,42.53218600719315,15.578794473287207,182,3206,FEMALE
Chinstrap,Dream,49.09069991100831,17.442455586967164,196,4090,FEMALE
Chinstrap,Dream,44.34599694695499,16.520724117383544,194,3472,FEMALE
Chinstrap,Dream,49.94869134042833,17.334892960979033,194,3954,FEMALE
Chinstrap,Dream,46.063196959153686,18.222462545577617,190,3826,FEMALE
Chinstrap,Dream,48.36915235554429,17.982273744120143,195,3787,FEMALE
Chinstrap,Dream,49.15687654290887,17.253357139616416,197,3427,FEMALE
Chinstrap,Dream,47.00407564141698,17.928473005554835,195,3211,FEMALE
Chinstrap,Dream,47.87053160124419,17.07882367670526,202,3727,FEMALE
Chinstrap,Dream,39.76808433177415,18.64751120377558,198,3878,FEMALE
Chinstrap,Dream,47.51691560580748,16.52568969013605,189,3591,FEMALE
Chinstrap,Dream,49.11355038111883,16.629240663480694,192,3789,FEMALE
Chinstrap,Dream,48.76360488462587,17.97520493141315,198,3751,FEMALE
Chinstrap,Dream,50.69013289271643,16.81450447955926,182,3536,FEMALE
Chinstrap,Dream,44.013537923216994,17.050742363792864,193,3077,FEMALE
Chinstrap,Dream,49.28697585759465,17.079921032009246,200,3422,FEMALE
Chinstrap,Dream,45.53599636300274,18.23068167541775,197,3472,FEMALE
Chinstrap,Dream,51.067800253531274,19.205974858516,202,3650,FEMALE
Chinstrap,Dream,44.511577847077554,17.637593671217594,180,3599,FEMALE
Chinstrap,Dream,51.71030435575244,18.08867017112583,192,3648,FEMALE
Chinstrap,Dream,46.521457500564864,18.822142732064254,191,3080,FEMALE
Chinstrap,Dream,45.165825591902276,17.267609507869967,191,3123,FEMALE
Chinstrap,Dream,45.200675315625766,17.0228710999188,187,3858,FEMALE
Chinstrap,Dream,50.00859086016112,16.837067168287046,202,3599,FEMALE
Chinstrap,Dream,46.96312957918023,16.723962934525193,187,3170,FEMALE
Chinstrap,Dream,40.277470943702255,16.07365852882598,187,2917,FEMALE
Chinstrap,Dream,50.39623987052108,18.16177030914179,185,3990,FEMALE
Chinstrap,Dream,49.499288807211954,18.837382744148034,199,3713,FEMALE
Chinstrap,Dream,47.1878813457658,17.65058355786222,193,3544,FEMALE
Chinstrap,Dream,45.44668273340854,18.07325580398109,188,3519,FEMALE
Chinstrap,Dream,48.29631216998069,17.957041673929393,191,3789,FEMALE
Chinstrap,Dream,50.416022151901316,16.641603256197623,191,3182,FEMALE
Chinstrap,Dream,45.22591092646347,17.904275661879158,196,3738,FEMALE
Chinstrap,Dream,44.45666329299998,17.971430486838095,199,3587,FEMALE
Chinstrap,Dream,44.55961722159885,17.257262494341465,192,3358,FEMALE
Chinstrap,Dream,49.1231041045195,17.206558427181086,192,3551,FEMALE
Chinstrap,Dream,50.33453522659481,18.43759504178097,187,3094,FEMALE
Chinstrap,Dream,46.06267954809006,17.278712104802523,191,3278,FEMALE
Chinstrap,Dream,49.020139594778605,18.601450046370093,185,3818,FEMALE
Chinstrap,Dream,48.708645003009664,16.956331033376646,191,2932,FEMALE
Chinstrap,Dream,48.1110258904437,17.764388279183972,179,3421,FEMALE
Chinstrap,Dream,43.61814446486089,17.072978866127315,192,3256,FEMALE
Chinstrap,Dream,44.350972376756076,19.840368251020735,193,3445,FEMALE
Chinstrap,Dream,49.225768942309315,16.449362692653672,192,3386,FEMALE
Chinstrap,Dream,47.420318123137264,18.16056015613148,189,3652,FEMALE
Chinstrap,Dream,45.07568938545844,17.998540734989078,201,3636,FEMALE
Chinstrap,Dream,50.69705994932103,17.848753110689856,197,3687,FEMALE
Chinstrap,Dream,45.23578075732668,18.064746444932467,191,3721,FEMALE
Chinstrap,Dream,51.440847254709205,17.266124873847513,187,3465,FEMALE
Chinstrap,Dream,47.131690497919934,17.360910707999942,186,3396,FEMALE
Chinstrap,Dream,44.63069091718975,17.953446646260108,190,3427,FEMALE
Chinstrap,Dream,46.873350243094386,18.42223477575028,190,3747,FEMALE
Chinstrap,Dream,45.4387050146974,18.434275934238013,195,3473,FEMALE
Chinstrap,Dream,43.29796716164539,17.537401360141537,191,3266,FEMALE
Chinstrap,Dream,48.968702539941745,18.512981338218907,197,3887,FEMALE
Chinstrap,Dream,51.15224875484177,18.109834084795416,190,3616,FEMALE
Chinstrap,Dream,46.2653963394359,18.18052608306956,180,3452,FEMALE
Chinstrap,Dream,49.272573128674225,16.96286507149238,178,3313,FEMALE
Chinstrap,Dream,41.215376084451705,18.838011182989007,188,3375,FEMALE
Chinstrap,Dream,49.221813131261534,17.58220830447176,187,3870,FEMALE
Chinstrap,Dream,49.85853709265989,17.595819249747322,192,3767,FEMALE
Chinstrap,Dream,48.357004417420306,18.257085474215433,194,3967,FEMALE
Chinstrap,Dream,49.22491018107627,17.142694732585273,186,3153,FEMALE
Chinstrap,Dream,46.735496616555196,18.933989001161855,197,3765,FEMALE
Chinstrap,Dream,42.02643906541214,16.809487061972636,184,3496,FEMALE
Chinstrap,Dream,39.84589843391591,15.009160293153002,185,3114,FEMALE
Chinstrap,Dream,47.587842306207826,17.203242187529803,192,3083,FEMALE
Chinstrap,Dream,44.1405856692514,17.386084629762706,196,3297,FEMALE
Chinstrap,Dream,44.20206422728683,17.268859726525736,188,3567,FEMALE
Chinstrap,Dream,48.04848230203001,18.232334678176414,185,3219,FEMALE
Chinstrap,Dream,44.028519762787354,17.628178512779836,185,3392,FEMALE
Chinstrap,Dream,44.75118189095642,16.4129486577546,191,2903,FEMALE
Chinstrap,Dream,46.38589485855105,17.218657101387308,187,3754,FEMALE
Chinstrap,Dream,42.70043912941429,16.855857921486763,185,3277,FEMALE
Chinstrap,Dream,42.0226955224112,16.60095928092497,188,3109,FEMALE
Chinstrap,Dream,44.54702578707559,16.96676999917759,183,3108,FEMALE
Chinstrap,Dream,43.5825497260782,17.091262102976597,184,3392,FEMALE
Chinstrap,Dream,41.543011672767335,16.501716121294137,189,3390,FEMALE
Chinstrap,Dream,45.101918221442546,17.077181015816915,190,3086,FEMALE
Chinstrap,Dream,47.889827367050934,18.350291000017908,189,3848,FEMALE
Chinstrap,Dream,46.97086158488473,15.903645347861003,190,3729,FEMALE
Chinstrap,Dream,50.8510402669694,18.25620781339243,193,3597,FEMALE
Chinstrap,Dream,43.39305611173598,18.61663037148069,192,3584,FEMALE
Chinstrap,Dream,46.501399255273064,18.186892240323235,193,3603,FEMALE
Chinstrap,Dream,46.76969686262055,17.624547517673165,196,3583,FEMALE
Chinstrap,Dream,48.16839458282525,16.79794249937072,199,3855,FEMALE
Chinstrap,Dream,45.64895130428659,15.992934421618193,187,3800,FEMALE
Chinstrap,Dream,51.03562573463553,17.334824438168287,192,3380,FEMALE
Chinstrap,Dream,52.21521631184108,18.151294095107026,195,3767,FEMALE
Chinstrap,Dream,44.519410071664794,17.27052549957694,191,3708,FEMALE
Chinstrap,Dream,46.012300444421335,18.250248400521087,192,3867,FEMALE
Chinstrap,Dream,52.760360897080034,19.014794992685655,206,3800,FEMALE
Chinstrap,Dream,51.11059908620065,17.70641493511759,193,3873,FEMALE
Chinstrap,Dream,53.7049682254515,19.799757821112276,190,4216,FEMALE
Chinstrap,Dream,43.78127351495401,16.422666365688304,185,3050,FEMALE
Chinstrap,Dream,46.6592643499684,17.308349471445528,194,3543,FEMALE
Chinstrap,Dream,40.48636607971771,15.966573291902737,188,2855,FEMALE
Chinstrap,Dream,45.641305637168394,16.87004598398573,195,3541,FEMALE
Chinstrap,Dream,46.159005514391296,17.58688502044927,191,3499,FEMALE
Chinstrap,Dream,52.89957539741845,17.53592798653501,194,3696,FEMALE
Chinstrap,Dream,49.10424309568172,17.614882161165347,188,3503,FEMALE
Chinstrap,Dream,47.02734675797629,18.894890886367275,189,3632,FEMALE
Chinstrap,Dream,46.88977433654367,19.323945572422712,197,4193,FEMALE
Chinstrap,Dream,50.12317613413785,17.853807794393344,178,3612,FEMALE
Chinstrap,Dream,46.3126382238327,17.05679018127182,194,3217,FEMALE
Chinstrap,Dream,47.08373107750153,17.699797768173763,194,4017,FEMALE
Chinstrap,Dream,51.7988059241409,18.206572707341984,188,3629,FEMALE
Chinstrap,Dream,45.20453829413609,17.417505275084554,192,3991,FEMALE
Chinstrap,Dream,41.00610900103293,17.80700505566429,189,3574,FEMALE
Chinstrap,Dream,51.98162114740596,16.863228803737982,193,3595,FEMALE
Chinstrap,Dream,43.76088514825881,17.35733475441715,189,3309,FEMALE
Chinstrap,Dream,48.88031977965804,16.788175783023014,192,3249,FEMALE
Chinstrap,Dream,50.255574835793645,17.90047708633455,197,3459,FEMALE
Chinstrap,Dream,44.30673190334178,17.674577916250097,190,3401,FEMALE
Chinstrap,Dream,47.31042363841481,19.040560227609273,197,3453,FEMALE
Chinstrap,Dream,44.933156493985855,16.961711756200785,189,3344,FEMALE
Chinstrap,Dream,51.12493907140757,18.152873613318253,185,3368,FEMALE
Chinstrap,Dream,51.031467477650786,17.985548514642293,197,3829,FEMALE
Chinstrap,Dream,47.167372945067505,17.235287860271825,191,3525,FEMALE
Chinstrap,Dream,49.224404069847054,19.043461294994636,194,3737,FEMALE
Chinstrap,Dream,46.85431780449845,18.185254261821296,200,3787,FEMALE
Chinstrap,Dream,44.14186493459144,18.011451439917316,198,3809,FEMALE
Chinstrap,Dream,45.613370370202105,17.482111349334616,190,3362,FEMALE
Chinstrap,Dream,44.36664106887226,17.535087704108445,194,3330,FEMALE
Chinstrap,Dream,43.90081565154799,17.268721389459934,191,3869,FEMALE
Chinstrap,Dream,44.473505375871696,18.856437697367213,189,3333,FEMALE
Chinstrap,Dream,46.531415042737684,19.04325458388384,192,3320,FEMALE
Chinstrap,Dream,47.3632231304496,17.08953318388243,192,3748,FEMALE
Chinstrap,Dream,45.85804594163207,18.565165781673084,195,3573,FEMALE
Chinstrap,Dream,50.35213968853779,17.099064279142212,202,3423,FEMALE
Chinstrap,Dream,41.36179488287035,16.967988785359896,195,3648,FEMALE
Chinstrap,Dream,47.81581380790443,17.666873722074993,200,3669,FEMALE
Chinstrap,Dream,42.56612889546634,17.07394767250645,189,3360,FEMALE
Chinstrap,Dream,47.08030568485793,18.159790555702106,193,3931,FEMALE
Chinstrap,Dream,52.37422804742872,18.06027770008583,193,4032,FEMALE
Chinstrap,Dream,43.54072336849088,16.255602598116017,184,3496,FEMALE
Chinstrap,Dream,53.61208986500899,17.229748981664525,196,3688,FEMALE
Chinstrap,Dream,43.17883128237321,16.654341232956828,199,3280,FEMALE
Chinstrap,Dream,45.89607489906893,18.348466448554397,185,3800,FEMALE
Chinstrap,Dream,42.156594537524114,16.849812156409236,188,3241,FEMALE
Chinstrap,Dream,44.459724503827516,17.043488165125112,178,3234,FEMALE
Chinstrap,Dream,47.71276715806697,18.518691968403683,187,3739,FEMALE
Chinstrap,Dream,40.95204080480082,16.755687925209298,191,3116,FEMALE
Chinstrap,Dream,47.99678322305702,17.976567865945835,188,3295,FEMALE
Chinstrap,Dream,48.353191856555256,17.419476946145856,197,3883,FEMALE
Chinstrap,Dream,45.155007439927104,17.944601722347098,183,3195,FEMALE
Chinstrap,Dream,49.24563759532198,17.7340306067886,192,3958,FEMALE
Chinstrap,Dream,42.770306740584715,17.396797993349495,187,3510,FEMALE
Chinstrap,Dream,42.148096693366355,16.5549389145527,189,3158,FEMALE
Chinstrap,Dream,44.48800509275866,15.776161198081176,194,3501,FEMALE
Chinstrap,Dream,50.446240047529116,18.440056922677396,201,4013,FEMALE
Chinstrap,Dream,46.76380194784198,17.74774230769652,185,3324,FEMALE
Chinstrap,Dream,46.20868658988578,17.30865437332612,184,3638,FEMALE
Chinstrap,Dream,48.86435987731537,18.129416979438084,194,3653,FEMALE
Chinstrap,Dream,45.324575309851504,18.51908951297956,191,3692,FEMALE
Chinstrap,Dream,47.99142448824672,17.455605477204205,184,3205,FEMALE
Chinstrap,Dream,46.17211625692685,16.973815559451037,189,3456,FEMALE
Chinstrap,Dream,51.76770269828122,18.053497449886898,191,3819,FEMALE
Chinstrap,Dream,48.83594603547882,18.37701002372571,189,3277,FEMALE
Chinstrap,Dream,45.37928862811729,16.111164253533033,190,2867,FEMALE
Chinstrap,Dream,46.653998029108465,16.822773650698927,199,3368,FEMALE
Chinstrap,Dream,47.68893485510336,18.07206869139258,194,3581,FEMALE
Chinstrap,Dream,44.054628586430205,16.753446660216127,192,3820,FEMALE
Chinstrap,Dream,48.92914590217216,17.78940215886316,189,3627,FEMALE
Chinstrap,Dream,43.64301324769285,17.735757621476154,191,3610,FEMALE
Chinstrap,Dream,46.106845757194236,19.039592115285345,192,3679,FEMALE
Chinstrap,Dream,51.33330870679219,17.44783449520827,196,3580,FEMALE
Chinstrap,Dream,46.27091977868162,17.112703733229253,198,3313,FEMALE
Chinstrap,Dream,46.18420004797034,17.788781954156203,184,3218,FEMALE
Chinstrap,Dream,46.3170358652379,17.384048298092576,194,3653,FEMALE
Chinstrap,Dream,48.25011976437877,18.256405353604542,189,3661,FEMALE
Chinstrap,Dream,44.37062253393813,18.419948607248365,194,3724,FEMALE
Chinstrap,Dream,46.72775115752784,17.704394285967776,186,3575,FEMALE
Chinstrap,Dream,45.604567056732556,16.38987103345727,192,3384,FEMALE
Chinstrap,Dream,46.97450525830704,18.413374783692014,202,4080,FEMALE
Chinstrap,Dream,48.191633134961,17.830694056223123,194,3742,FEMALE
Chinstrap,Dream,48.075786520674235,17.940028244520704,199,3844,FEMALE
Chinstrap,Dream,49.46588584543334,18.553097830417876,184,3744,FEMALE
Chinstrap,Dream,46.13810952184927,18.110045626380533,192,3213,FEMALE
Chinstrap,Dream,45.478085231484364,17.889658449794872,187,3513,FEMALE
Chinstrap,Dream,47.62235721090952,18.252055801257512,190,3111,FEMALE
Chinstrap,Dream,47.39537158197736,18.511293013345046,195,3701,FEMALE
Chinstrap,Dream,52.9636563708141,19.094396333669838,196,3955,FEMALE
Chinstrap,Dream,46.52381565181343,18.103932762681413,194,3856,FEMALE
Chinstrap,Dream,50.08145876568578,18.228740092031654,192,3589,FEMALE
Chinstrap,Dream,48.727050926756306,17.924560325446336,184,3304,FEMALE
Chinstrap,Dream,45.89302939646713,17.59491197538096,204,3631,FEMALE
Chinstrap,Dream,50.82590986357093,17.345014554424708,190,3257,FEMALE
Chinstrap,Dream,51.207500986407055,18.31304695888821,189,3867,FEMALE
Chinstrap,Dream,45.38928497103915,18.457605082536134,195,3577,FEMALE
Chinstrap,Dream,48.58815342976634,16.203244842819192,192,2980,FEMALE
Chinstrap,Dream,47.48760372091386,17.655206635781326,192,3703,FEMALE
Chinstrap,Dream,49.664802097126994,18.83850757714521,191,3800,FEMALE
Chinstrap,Dream,46.03730231479355,17.205440092433182,187,3234,FEMALE
Chinstrap,Dream,50.03748470731571,17.16701900937952,182,3261,FEMALE
Chinstrap,Dream,44.68786424409499,18.223381733350553,194,3355,FEMALE
Chinstrap,Dream,41.953558376796856,17.335405002429543,188,3754,FEMALE
Chinstrap,Dream,48.478487758840615,17.639965354315553,196,3202,FEMALE
Chinstrap,Dream,44.49503831164096,18.052800310262192,194,4009,FEMALE
Chinstrap,Dream,47.60850330081319,18.171564715844344,187,3566,FEMALE
Chinstrap,Dream,45.773593615229196,16.9753518639804,200,3407,FEMALE
Chinstrap,Dream,48.73274506855529,16.75665314227749,192,3503,FEMALE
Chinstrap,Dream,46.045268493168784,17.34280375859999,192,3983,FEMALE
Chinstrap,Dream,43.015419024066254,16.62748253830836,187,2797,FEMALE
Chinstrap,Dream,43.38604171501025,16.64032767558468,185,3260,FEMALE
Chinstrap,Dream,51.16204966738954,17.926918761913743,196,3711,FEMALE
Chinstrap,Dream,47.905157705513325,18.30809868161608,188,3725,FEMALE
Chinstrap,Dream,45.35763524944847,17.195055613041493,187,3628,FEMALE
Chinstrap,Dream,49.90847455156183,17.097421713500484,191,3506,FEMALE
Chinstrap,Dream,51.11421496619519,17.17193786648767,197,3403,FEMALE
Chinstrap,Dream,42.867960111300974,17.23730249124359,199,4004,FEMALE
Chinstrap,Dream,43.5816971639421,18.20900534317525,192,3573,FEMALE
